mu,alpha,beta,threshold_percentile,threshold_value,precision,recall,f1_score,accuracy,tp,fp,fn,tn,max_state,mean_anomaly,max_anomaly
0.14,1.618,0.5,70.0,1.6220045145933033,0.9737470167064439,0.9466357308584686,0.96,0.9756621331424481,408,11,23,955,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,71.0,1.7137821211252566,0.9950617283950617,0.9350348027842227,0.9641148325358851,0.9785254115962777,403,2,28,964,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,72.0,1.9321909390211494,1.0,0.9071925754060325,0.951338199513382,0.9713672154617037,391,0,40,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,73.0,1.987639557226951,1.0,0.8747099767981439,0.9331683168316832,0.9613457408732999,377,0,54,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,74.0,2.115787994194019,1.0,0.8422273781902552,0.9143576826196473,0.9513242662848962,363,0,68,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,75.0,2.2045277973564685,1.0,0.8097447795823666,0.8948717948717949,0.9413027916964924,349,0,82,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,76.0,2.3219884052221786,1.0,0.7795823665893271,0.8761408083441982,0.9319971367215462,336,0,95,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,77.0,2.4310668756353873,1.0,0.7470997679814385,0.8552456839309429,0.9219756621331424,322,0,109,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,78.0,2.497124622796927,1.0,0.7146171693735499,0.8335588633288228,0.9119541875447388,308,0,123,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,79.0,2.6028789330870206,1.0,0.6821345707656613,0.8110344827586207,0.901932712956335,294,0,137,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,80.0,2.7585820066802182,1.0,0.6496519721577726,0.7876230661040788,0.8919112383679313,280,0,151,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,81.0,2.929661176602673,1.0,0.617169373549884,0.763271162123386,0.8818897637795275,266,0,165,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,82.0,3.0696899983116466,1.0,0.5846867749419954,0.7379209370424598,0.8718682891911238,252,0,179,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,83.0,3.1772328299554125,1.0,0.5522041763341067,0.7115097159940209,0.8618468146027202,238,0,193,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,84.0,3.351621858682713,1.0,0.5197215777262181,0.683969465648855,0.8518253400143164,224,0,207,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,85.0,3.5175451844045678,1.0,0.4872389791183295,0.6552262090483619,0.8418038654259127,210,0,221,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,86.0,3.6938735985249362,1.0,0.4547563805104408,0.6251993620414673,0.8317823908375089,196,0,235,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,87.0,4.00694195429216,1.0,0.4222737819025522,0.5938009787928222,0.8217609162491052,182,0,249,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,88.0,4.259960056772924,1.0,0.38979118329466356,0.5609348914858097,0.8117394416607016,168,0,263,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,89.0,4.493708264176686,1.0,0.35730858468677495,0.5264957264957265,0.8017179670722978,154,0,277,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,90.0,4.761191232727769,1.0,0.3248259860788863,0.4903677758318739,0.7916964924838941,140,0,291,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,91.0,5.134594490708277,1.0,0.2923433874709977,0.4524236983842011,0.7816750178954903,126,0,305,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,92.0,5.332281688048502,1.0,0.25986078886310904,0.4125230202578269,0.7716535433070866,112,0,319,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,93.0,5.557632341845268,1.0,0.2273781902552204,0.3705103969754253,0.7616320687186829,98,0,333,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,94.0,6.133569277483287,1.0,0.19489559164733178,0.32621359223300966,0.7516105941302792,84,0,347,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,96.0,7.583322295888307,1.0,0.12993039443155452,0.22997946611909653,0.7315676449534717,56,0,375,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,97.0,8.3276289026689,1.0,0.09744779582366589,0.17758985200845664,0.721546170365068,42,0,389,966,149.9992314,2.2360302765560425,22.039488065603784
0.14,1.618,0.5,98.0,9.457760937965864,1.0,0.06496519721577726,0.12200435729847495,0.7115246957766643,28,0,403,966,149.9992314,2.2360302765560425,22.039488065603784
