KE,avg_error,lambda_val,lipschitz,max_error,memory_mode,overshoot_rad,rmse,setpoint_freq,settling_time_s,stable,steps,torque_max,torque_violation_rate,torque_violations,total_energy_J
0.2,0.999944,0.1,200.0007,1.000608,short,0.0,0.999947,1.0,,False,5000,30.0,0.017,85,0.0427
0.3,0.999921,0.1,200.001,1.000608,short,0.0,0.999925,1.0,,False,5000,30.0,0.2866,1433,0.0474
0.4,0.999911,0.1,200.0014,1.000608,short,0.0,0.999914,1.0,,False,5000,30.0,0.4402,2201,0.0488
0.5,0.999904,0.1,200.0017,1.000608,short,0.0,0.999908,1.0,,False,5000,30.0,0.532,2660,0.0506
0.2,0.999946,0.16905,200.0007,1.000608,short,0.0,0.999949,1.0,,False,5000,30.0,0.0042,21,0.0396
0.3,0.999923,0.16905,200.001,1.000608,short,0.0,0.999926,1.0,,False,5000,30.0,0.2294,1147,0.0497
0.4,0.999911,0.16905,200.0013,1.000608,short,0.0,0.999914,1.0,,False,5000,30.0,0.385,1925,0.0528
0.5,0.999904,0.16905,200.0017,1.000608,short,0.0,0.999908,1.0,,False,5000,30.0,0.4776,2388,0.0568
0.2,0.999946,0.25,200.0006,1.00059,short,0.0,0.999949,1.0,,False,5000,30.0,0.0,0,0.0364
0.3,0.999923,0.25,200.001,1.000608,short,0.0,0.999926,1.0,,False,5000,30.0,0.1748,874,0.0524
0.4,0.999909,0.25,200.0013,1.000608,short,0.0,0.999913,1.0,,False,5000,30.0,0.3334,1667,0.0577
0.5,0.999901,0.25,200.0016,1.000608,short,0.0,0.999906,1.0,,False,5000,30.0,0.427,2135,0.0645
0.2,0.999945,0.35,200.0006,1.000563,short,0.0,0.999948,1.0,,False,5000,30.0,0.0,0,0.0335
0.3,0.99992,0.35,200.0009,1.000608,short,0.0,0.999924,1.0,,False,5000,30.0,0.1274,637,0.0547
0.4,0.999904,0.35,200.0013,1.000608,short,0.0,0.999909,1.0,,False,5000,30.0,0.284,1420,0.0633
0.5,0.999895,0.35,200.0015,1.000608,short,0.0,0.9999,1.0,,False,5000,30.0,0.3832,1916,0.0724
0.2,0.999945,0.1,200.0007,1.000608,long,0.0,0.999948,1.0,,False,5000,30.0,0.0164,82,0.0427
0.3,0.999923,0.1,200.001,1.000608,long,0.0,0.999927,1.0,,False,5000,30.0,0.2822,1411,0.0474
