config_id,alpha,lambda,field_strength,lipschitz,is_stable,max_psi,final_error,total_energy,field_work
field_alpha0.5200_lambda0.1100_strength0.0,0.52,0.11,0.0,0.1287054728525734,True,1.0,-0.1046630529786158,3.638118211095925,0.0
field_alpha0.5200_lambda0.1100_strength0.1,0.52,0.11,0.1,0.20987648424840052,True,1.0612881920974935,-0.17055992195674521,4.759459080285397,0.769800358919501
field_alpha0.5200_lambda0.1100_strength0.5,0.52,0.11,0.5,0.4644403155907332,True,3.4353244100452156,-0.434147397869264,9.244822557043316,3.8490017945975055
field_alpha0.5200_lambda0.1100_strength1.0,0.52,0.11,1.0,0.5152553677864351,True,6.426959985596126,-0.7636317427599125,14.851526902990713,7.698003589195011
field_alpha0.5200_lambda0.1100_strength2.0,0.52,0.11,2.0,0.543166935811366,True,12.41528182674085,-1.4226004325412078,26.0649355948855,15.396007178390022
field_alpha0.5200_lambda0.1100_strength5.0,0.52,0.11,5.0,0.5608037230062968,True,30.38443711381906,-3.3995065018851007,59.70516167056991,38.490017945975055
field_alpha0.5200_lambda0.1100_strength10.0,0.52,0.11,10.0,0.566839690884228,True,60.334395746392595,-6.694349950791581,115.77220513004384,76.98003589195011
field_alpha0.5200_lambda0.1113_strength0.0,0.52,0.11125,0.0,0.12926109359876264,True,1.0,-0.10420762506249587,3.6281435835183133,0.0
field_alpha0.5200_lambda0.1113_strength0.1,0.52,0.11125,0.1,0.21001681631116123,True,1.0575416724021676,-0.17000677519353663,4.747921715126387,0.769800358919501
field_alpha0.5200_lambda0.1113_strength0.5,0.52,0.11125,0.5,0.46491351844964907,True,3.426994341967588,-0.4332033757177006,9.227034241558677,3.8490017945975055
field_alpha0.5200_lambda0.1113_strength1.0,0.52,0.11125,1.0,0.5157259367110066,True,6.412834620518498,-0.7621991263729055,14.825924899599054,7.698003589195011
field_alpha0.5200_lambda0.1113_strength2.0,0.52,0.11125,2.0,0.5436298010273527,True,12.389466908783081,-1.4201906276833145,26.02370621567978,15.396007178390022
field_alpha0.5200_lambda0.1113_strength5.0,0.52,0.11125,5.0,0.5612568293540569,True,30.323619075593367,-3.3941651316145447,59.617050163921974,38.490017945975055
field_alpha0.5200_lambda0.1113_strength10.0,0.52,0.11125,10.0,0.5672871738134161,True,60.2154099684057,-6.684122638166594,115.60595674432567,76.98003589195011
field_alpha0.5200_lambda0.1125_strength0.0,0.52,0.1125,0.0,0.1298179509626822,True,1.0,-0.10375436859271392,3.618208135616857,0.0
field_alpha0.5200_lambda0.1125_strength0.1,0.52,0.1125,0.1,0.21015925787319628,True,1.0538170976467731,-0.1694560513589368,4.736427377621527,0.769800358919501
field_alpha0.5200_lambda0.1125_strength0.5,0.52,0.1125,0.5,0.46538734415357674,True,3.418697552542064,-0.43226278242382754,9.209304345640192,3.8490017945975055
field_alpha0.5200_lambda0.1125_strength1.0,0.52,0.1125,1.0,0.516196842985063,True,6.398759260331755,-0.7607711962549407,14.800400555663522,7.698003589195011
field_alpha0.5200_lambda0.1125_strength2.0,0.52,0.1125,2.0,0.5440884606551476,True,12.36383662801844,-1.4177880239171683,25.98259297571019,15.396007178390022
field_alpha0.5200_lambda0.1125_strength5.0,0.52,0.1125,5.0,0.5617055375232688,True,30.263232657917378,-3.3888385069038494,59.5291702358502,38.490017945975055
field_alpha0.5200_lambda0.1125_strength10.0,0.52,0.1125,10.0,0.5677326798513042,True,60.09700361774479,-6.673922645214984,115.44013233608354,76.98003589195011
field_alpha0.5200_lambda0.1138_strength0.0,0.52,0.11375,0.0,0.13037607850721789,True,1.0,-0.10330327251510672,3.608311689759807,0.0
field_alpha0.5200_lambda0.1138_strength0.1,0.52,0.11375,0.1,0.21030371965587388,True,1.0501147748481146,-0.16890773852598234,4.724975877364098,0.769800358919501
field_alpha0.5200_lambda0.1138_strength0.5,0.52,0.11375,0.5,0.4658586967180714,True,3.410456512886074,-0.431325602569485,9.191632627781253,3.8490017945975055
field_alpha0.5200_lambda0.1138_strength1.0,0.52,0.11375,1.0,0.5166667384234019,True,6.384750306053119,-0.7593479326238641,14.774953565802704,7.698003589195011
field_alpha0.5200_lambda0.1138_strength2.0,0.52,0.11375,2.0,0.5445473547858534,True,12.338289107762895,-1.4153925927326214,25.941595441845607,15.396007178390022
field_alpha0.5200_lambda0.1138_strength5.0,0.52,0.11375,5.0,0.5621537782177551,True,30.20306381264951,-3.3835265730588935,59.4415210699743,38.490017945975055
field_alpha0.5200_lambda0.1138_strength10.0,0.52,0.11375,10.0,0.5681780249622775,True,59.978981654546345,-6.663749873602682,115.27473045018881,76.98003589195011
field_alpha0.5200_lambda0.1150_strength0.0,0.52,0.11499999999999999,0.0,0.13093550928572972,True,1.0,-0.1028543258338349,3.5984540691832354,0.0
field_alpha0.5200_lambda0.1150_strength0.1,0.52,0.11499999999999999,0.1,0.21045089470116898,True,1.046431113967921,-0.16836182482961723,4.713567024865483,0.769800358919501
field_alpha0.5200_lambda0.1150_strength0.5,0.52,0.11499999999999999,0.5,0.4663298239237884,True,3.4022543987024014,-0.4303918208127467,9.174018847594487,3.8490017945975055
field_alpha0.5200_lambda0.1150_strength1.0,0.52,0.11499999999999999,1.0,0.5171337045772311,True,6.370830979653158,-0.7579293157916576,14.74958362600573,7.698003589195011
field_alpha0.5200_lambda0.1150_strength2.0,0.52,0.11499999999999999,2.0,0.5450042067124555,True,12.312875396554883,-1.4130043057494808,25.90071318282822,15.396007178390022
field_alpha0.5200_lambda0.1150_strength5.0,0.52,0.11499999999999999,5.0,0.56260065650431,True,30.14315941175045,-3.3782292756229477,59.35410185329567,38.490017945975055
field_alpha0.5200_lambda0.1150_strength10.0,0.52,0.11499999999999999,10.0,0.5686185618898282,True,59.86183157926243,-6.653604225412059,115.1097496374081,76.98003589195011
field_alpha0.5200_lambda0.1162_strength0.0,0.52,0.11624999999999999,0.0,0.13149627584713683,True,1.0,-0.10240751761107185,3.588635097986647,0.0
field_alpha0.5200_lambda0.1162_strength0.1,0.52,0.11624999999999999,0.1,0.21060078338405555,True,1.0427660130798453,-0.16781829846636157,4.702200631550554,0.769800358919501
field_alpha0.5200_lambda0.1162_strength0.5,0.52,0.11624999999999999,0.5,0.46680155759203196,True,3.394084908324039,-0.4294614218875193,9.156462765806179,3.8490017945975055
field_alpha0.5200_lambda0.1162_strength1.0,0.52,0.11624999999999999,1.0,0.5176009952236249,True,6.356960692290824,-0.7565153261639666,14.724290433625711,7.698003589195011
field_alpha0.5200_lambda0.1162_strength2.0,0.52,0.11624999999999999,2.0,0.5454585647873826,True,12.287604837195586,-1.4106231347168612,25.859945769264773,15.396007178390022
field_alpha0.5200_lambda0.1162_strength5.0,0.52,0.11624999999999999,5.0,0.5630440301467051,True,30.083632446098026,-3.3729465603755453,59.26691177618198,38.490017945975055
field_alpha0.5200_lambda0.1162_strength10.0,0.52,0.11624999999999999,10.0,0.5690592807954302,True,59.74502374796578,-6.6434856031400225,114.94518845437729,76.98003589195011
field_alpha0.5200_lambda0.1175_strength0.0,0.52,0.1175,0.0,0.1320584102409245,True,1.0,-0.10196283696668663,3.578854601128514,0.0
field_alpha0.5200_lambda0.1175_strength0.1,0.52,0.1175,0.1,0.21075338600444424,True,1.039119370824186,-0.16727714769398047,4.6908765097529805,0.769800358919501
field_alpha0.5200_lambda0.1175_strength0.5,0.52,0.1175,0.5,0.4672712789990984,True,3.38596682765267,-0.428534390603156,9.138964144250851,3.8490017945975055
field_alpha0.5200_lambda0.1175_strength1.0,0.52,0.1175,1.0,0.518066582765668,True,6.343164015783069,-0.7551059442396246,14.699073687373184,7.698003589195011
field_alpha0.5200_lambda0.1175_strength2.0,0.52,0.1175,2.0,0.5459131467531285,True,12.262415470555112,-1.4082490515125627,25.81929277361786,15.396007178390022
field_alpha0.5200_lambda0.1175_strength5.0,0.52,0.1175,5.0,0.5634875908289992,True,30.02428380662952,-3.3676783733313793,59.1799500323519,38.490017945975055
field_alpha0.5200_lambda0.1175_strength10.0,0.52,0.1175,10.0,0.5694976761797449,True,59.62881908507957,-6.633393909696069,114.78104546357527,76.98003589195011
field_alpha0.5200_lambda0.1187_strength0.0,0.52,0.11875,0.0,0.13262194402191813,True,1.0,-0.10152027307793554,3.569112404421926,0.0
field_alpha0.5200_lambda0.1187_strength0.1,0.52,0.11875,0.1,0.21090784191558395,True,1.035495313012735,-0.16673836083116025,4.679594472710685,0.769800358919501
field_alpha0.5200_lambda0.1187_strength0.5,0.52,0.11875,0.5,0.4677402976823994,True,3.3778903178086392,-0.4276107118440589,9.121522745865711,3.8490017945975055
field_alpha0.5200_lambda0.1187_strength1.0,0.52,0.11875,1.0,0.5185299199578967,True,6.329447149633162,-0.7537011506101826,14.673933087309504,7.698003589195011
field_alpha0.5200_lambda0.1187_strength2.0,0.52,0.11875,2.0,0.5463643339720673,True,12.237387966822212,-1.4058820281424296,25.778753770197078,15.396007178390022
