"# Primal Logic Kernel Test: MU=0.12000000, KE=0.40"
"# Core: D0=155.0000000000, I3=6.4939394023, S=23.0983417165, F'(D0)=0.000129931830"
# Generated: 2025-11-26T06:07:53.909995
"# dt=0.01, t_end=5.0, n_steps=501"
# Control law: dψ/dt = -μ·ψ(t) + KE·e(t)

t,psi,gamma,Ec
0.0,1.0,0.004,0.0
0.01,0.998816,0.00398,3.97528768e-05
0.02,0.9976333408,0.0039601,7.92601547290208e-05
0.03,0.99645202119104,0.0039402995,0.00011852334873775126
0.04,0.9952720399636108,0.0039205980025,0.0001575439644560056
0.05,0.9940933959076644,0.0039009950124875,0.00019632349824983122
0.06,0.9929160878126252,0.0038814900374250626,0.00023486343727826896
0.07,0.9917401144673997,0.0038620825872379373,0.000273165259549768
0.08,0.9905654746603878,0.0038427721743017475,0.00031123043397825737
0.09,0.9893921671794925,0.0038235583134302387,0.00034906042043887647
0.1,0.9882201908121309,0.0038044405218630875,0.0003866566698233659
0.11,0.9870495443452437,0.0037854183192537723,0.00042402062409512166
0.12,0.9858802265653065,0.0037664912276575034,0.00046115371634391383
0.13,0.9847122362583387,0.0037476587715192158,0.0004980573708402724
0.14,0.9835455722099148,0.0037289204776616196,0.0005347330030895421
0.15,0.9823802332051735,0.0037102758752733116,0.0005711820198856073
0.16,0.9812162180288284,0.003691724495896945,0.0006074058193642911
0.17,0.9800535254651774,0.00367326587341746,0.0006434057910564281
0.18,0.9788921542981129,0.003654899544050373,0.0006791833159406148
0.19,0.9777321033111314,0.0036366250463301213,0.0007147397664956377
0.2,0.9765733712873433,0.0036184419210984705,0.0007500765067525836
0.21,0.9754159570094829,0.0036003497114929783,0.000785194892346631
0.22,0.9742598592599175,0.0035823479629355135,0.000820096270568527
0.23,0.9731050768206574,0.003564436223120836,0.0008547819804157503
0.24,0.971951608473365,0.0035466140420052318,0.0008892533526433624
0.25,0.970799452999365,0.003528880971795206,0.000923511709814549
0.26,0.9696486091796529,0.0035112365669362298,0.0009575583663508535
0.27,0.968499075794905,0.0034936803841015486,0.0009913946285821048
0.28,0.9673508516254875,0.003476211982181041,0.0010250217947960403
0.29,0.9662039354514657,0.0034588309222701357,0.0010584411552876265
0.3,0.965058326052613,0.003441536767658785,0.0010916539924080797
0.31,0.9639140222084205,0.0034243290838204907,0.0011246615806135866
0.32,0.9627710226981057,0.0034072074384013883,0.0011574651865137297
0.33,0.9616293263006216,0.0033901714012093812,0.0011900660689196157
0.34,0.9604889317946657,0.0033732205442033344,0.0012224654788917126
0.35000000000000003,0.9593498379586889,0.003356354441482318,0.0012546646597873924
0.36,0.9582120435709044,0.003339572669274906,0.0012866648473081868
0.37,0.9570755474092965,0.0033228748059285318,0.0013184672695467528
0.38,0.955940348251629,0.003306260431898889,0.001350073147033553
0.39,0.9548064448754546,0.0032897291297393945,0.0013814836927832498
0.4,0.9536738360581231,0.0032732804840906976,0.0014127001123408194
0.41000000000000003,0.9525425205767897,0.003256914081670244,0.0014437236038273816
0.42,0.9514124972084242,0.0032406295112618927,0.0014745553579857515
0.43,0.9502837647298192,0.0032244263637055833,0.0015051965582257138
0.44,0.9491563219175982,0.0032083042318870555,0.0015356483806690197
0.45,0.9480301675482247,0.0031922627107276204,0.0015659119941941102
0.46,0.9469053003980097,0.0031763013971739824,0.0015959885604805667
0.47000000000000003,0.9457817192431208,0.0031604198901881123,0.0016258792340532893
0.48,0.9446594228595898,0.0031446177907371716,0.001655585162326407
0.49,0.9435384100233213,0.0031288947017834856,0.0016851074856469189
0.5,0.9424186795101004,0.003113250228274568,0.0017144473373380692
0.51,0.9413002300956014,0.0030976839771331955,0.0017436058437424586
0.52,0.9401830605553951,0.0030821955572475296,0.0017725841242648907
0.53,0.9390671696649576,0.003066784579461292,0.0018013832914149592
0.54,0.9379525561996775,0.0030514506565639853,0.001830004450849373
0.55,0.9368392189348642,0.0030361934032811654,0.001858448701414024
0.56,0.9357271566457555,0.0030210124362647596,0.001886717135185799
0.5700000000000001,0.9346163681075256,0.0030059073740834356,0.0019148108375141339
0.58,0.9335068520952928,0.0029908778372130184,0.001942730887062317
0.59,0.9323986073841273,0.0029759234480269533,0.001970478355848538
0.6,0.9312916327490585,0.0029610438307868187,0.001998054309286688
0.61,0.9301859269650827,0.0029462386116328844,0.0020254598062269084
0.62,0.9290814888071711,0.00293150741857472,0.0020526958989958953
0.63,0.9279783170502768,0.0029168498814818463,0.0020797636334369536
0.64,0.9268764104693423,0.002902265632074437,0.0021066640489498106
0.65,0.9257757678393074,0.0028877543039140647,0.0021333981785301836
0.66,0.9246763879351159,0.0028733155323944944,0.002159967048809108
0.67,0.9235782695317233,0.002858948954732522,0.0021863716800920216
0.68,0.9224814114041041,0.002844654209958859,0.0022126130863976165
0.6900000000000001,0.921385812327259,0.0028304309389090647,0.002238692275496446
0.7000000000000001,0.920291471076222,0.0028162787842145195,0.0022646102489493015
0.71,0.9191983864260674,0.002802197390293447,0.002290368002145352
0.72,0.9181065571519174,0.00278818640334198,0.002315966524340053
0.73,0.9170159820289484,0.00277424547132527,0.00234140679869282
0.74,0.915926659832399,0.0027603742439686434,0.002366689802304476
0.75,0.914838589337576,0.0027465723727488002,0.0023918165062544665
0.76,0.9137517693198619,0.0027328395108850564,0.002416787875637851
0.77,0.9126661985547216,0.0027191753133306313,0.002441604869602064
0.78,0.9115818758177093,0.0027055794367639783,0.002466268441383455
0.79,0.9104987998844751,0.0026920515395801583,0.002490779538343604
0.8,0.9094169695307721,0.0026785912818822577,0.002515139102005413
0.81,0.9083363835324627,0.0026651983254728463,0.0025393480680889805
0.8200000000000001,0.9072570406655256,0.002651872333845482,0.002563407366547255
0.8300000000000001,0.9061789397060623,0.0026386129721762547,0.0025873179216014683
0.84,0.9051020794303037,0.0026254199073153734,0.002611080651776357
0.85,0.9040264586146166,0.0026122928077787965,0.002634696469935164
0.86,0.9029520760355102,0.0025992313437399025,0.002658166283314429
0.87,0.9018789304696425,0.002586235187021203,0.0026814909935585656
0.88,0.900807020693827,0.0025733040110860967,0.002704671496754225
0.89,0.8997363454850388,0.0025604374910306663,0.002727708683464453
0.9,0.8986669036204209,0.0025476353035755127,0.002750603438762636
0.91,0.8975986938772907,0.002534897127057635,0.0027733566422662383
0.92,0.8965317150331462,0.002522222641422347,0.0027959691681703363
0.93,0.8954659658656722,0.002509611528215235,0.002818441885280945
0.9400000000000001,0.8944014451527462,0.002497063470574159,0.0028407756570481414
0.9500000000000001,0.8933381516724452,0.002484578153221288,0.002862971341598986
0.96,0.8922760842030512,0.0024721552624551815,0.0028850297917702404
0.97,0.8912152415230573,0.0024597944861429054,0.0029069518551408896
0.98,0.8901556224111742,0.002447495513712191,0.0029287383740644597
0.99,0.8890972256463356,0.00243525803614363,0.002950390185701142
1.0,0.8880400500077046,0.0024230817459629118,0.002971908122049719
1.01,0.8869840942746792,0.0024109663372330974,0.002993293009979293
1.02,0.8859293572268985,0.002398911505546932,0.0030145456712608273
1.03,0.8848758376442484,0.0023869169480191976,0.003035666922598485
1.04,0.8838235343068673,0.0023749823632791016,0.003056657575660783
1.05,0.8827724459951523,0.002363107451462706,0.003077518437111554
1.06,0.881722571489764,0.0023512919142053925,0.0030982503086407166
1.07,0.880673909571633,0.0023395354546343655,0.0031188539869948595
1.08,0.8796264590219657,0.0023278377773611938,0.0031393302640076374
1.09,0.8785802186222488,0.002316198588474388,0.003159679926629981
1.1,0.8775351871542559,0.002304617595532016,0.0031799037569601226
1.11,0.876491363400053,0.002293094507554356,0.0032000025322734375
1.12,0.8754487461420031,0.002281629035016584,0.003219977025052102
1.1300000000000001,0.8744073341627727,0.002270220889841501,0.0032398280030145714
1.1400000000000001,0.8733671262453367,0.0022588697853922935,0.003259556229144876
1.1500000000000001,0.8723281211729839,0.002247575436465332,0.00327916246172174
1.16,0.8712903177293222,0.0022363375592830055,0.0032986474543475167
1.17,0.8702537146982842,0.0022251558714865903,0.0033180119559769556
1.18,0.8692183108641321,0.0022140300921291572,0.0033372567109457843
1.19,0.8681841050114637,0.0022029599416685114,0.00335638245899912
1.2,0.8671510959252167,0.0021919451419601687,0.0033753899353197074
1.21,0.8661192823906743,0.002180985416250368,0.00339427987055598
1.22,0.8650886631934704,0.002170080489169116,0.0034130529908499557
1.23,0.864059237119595,0.0021592300867232703,0.0034317100178649536
1.24,0.8630310029553984,0.002148433936289654,0.003450251668813148
1.25,0.862003959487597,0.0021376917666082055,0.003468678656482951
1.26,0.8609781055032784,0.0021270033077751644,0.0034869916892662257
1.27,0.8599534397899056,0.0021163682912362885,0.003505191471185335
1.28,0.8589299611353226,0.002105786449780107,0.003523278701920024
1.29,0.8579076683277593,0.0020952575175312064,0.003541254076834138
1.3,0.8568865601558362,0.0020847812299435503,0.003559118287002176
1.31,0.855866635408569,0.0020743573237938327,0.0035768720192356817
1.32,0.8548478928753739,0.0020639855371748636,0.0035945159561094737
1.33,0.8538303313460721,0.0020536656094889893,0.0036120507759877137
1.34,0.8528139496108947,0.0020433972814415443,0.003629477153049817
1.35,0.8517987464604875,0.0020331802950343367,0.003646795757316201
1.36,0.850784720685915,0.002023014393559165,0.003664007254673879
1.37,0.8497718710786661,0.0020128993215913693,0.003681112306901896
1.3800000000000001,0.8487601964306581,0.0020028348249834125,0.0036981115716966067
1.3900000000000001,0.8477496955342413,0.0019928206508584953,0.003715005702696803
1.4000000000000001,0.8467403671822036,0.0019828565476042027,0.0037317953495086833
1.41,0.8457322101677753,0.0019729422648661816,0.0037484811577306702
1.42,0.8447252232846335,0.0019630775535418505,0.0037650637689780773
1.43,0.8437194053269061,0.0019532621657741413,0.0037815438209076223
1.44,0.8427147550891769,0.0019434958549452706,0.0037979219472417925
1.45,0.8417112713664897,0.0019337783756705443,0.003814198777793059
1.46,0.8407089529543526,0.0019241094837921917,0.0038303749384879437
1.47,0.8397077986487425,0.0019144889363732307,0.003846451051390937
1.48,0.8387078072461095,0.0019049164916913645,0.003862427734728271
1.49,0.8377089775433809,0.0018953919092329077,0.003878305602911546
1.5,0.8367113083379658,0.0018859149496867431,0.0038940852665612113
1.51,0.835714798427759,0.0018764853749383094,0.0039097673325299035
1.52,0.8347194466111454,0.0018671029480636179,0.00392535240392564
1.53,0.8337252516870043,0.0018577674333232997,0.003940841080134874
1.54,0.8327322124547132,0.0018484785961566832,0.0039562339568454015
1.55,0.8317403277141522,0.0018392362031758999,0.003971531626069134
1.56,0.8307495962657079,0.0018300400221600204,0.00398673467616473
1.57,0.8297600169102777,0.0018208898220492202,0.004001843691860083
1.58,0.8287715884492736,0.001811785372938974,0.0040168592542746805
1.59,0.8277843096846262,0.001802726446074279,0.004031781940941818
1.6,0.826798179418789,0.0017937128138439077,0.004046612325830682
1.61,0.8258131964547418,0.0017847442497746881,0.004061350979368288
1.62,0.8248293595959952,0.0017758205285258147,0.004075998468461302
