# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.000129932
# FixedPoint ~ 149.999  |x*-D0|=0
# CMB: Cn=1 Cs=0.418877 pH@t=100=1.43304
# Market: eff=0.785004
# SNR=12.6491 quality=1
# Fused=0.989933 conf=0.9
# PID out=0.364161
# vol=0.014004 ROI=0.0196078 risk=0.32
# consensus=0.989933 validation=0.78 health=0.825
# corr=0.996419 procRate=500 errRate=0.003
# t,psi,gamma,Ec
0,1.00716,0.00418877,0
0.01,1.01436,0.00838917,3.12464e-06
0.02,1.0216,0.0126011,9.08344e-06
0.03,1.02888,0.0168244,1.75813e-05
0.04,1.0362,0.0210591,2.83187e-05
0.05,1.04355,0.025305,4.09916e-05
0.06,1.05094,0.029562,5.52916e-05
0.07,1.05836,0.0338299,7.0906e-05
0.08,1.06582,0.0381087,8.75179e-05
0.09,1.07332,0.0423982,0.000104806
0.1,1.08084,0.0466984,0.000122447
0.11,1.0884,0.051009,0.000140109
0.12,1.09598,0.0553299,0.000157462
0.13,1.1036,0.0596611,0.000174168
0.14,1.11124,0.0640023,0.000189887
0.15,1.11891,0.0683534,0.000204275
0.16,1.12661,0.0727144,0.000216985
0.17,1.13434,0.077085,0.000227666
0.18,1.14209,0.0814651,0.000235963
0.19,1.14986,0.0858545,0.00024152
0.2,1.15766,0.0902532,0.000243976
0.21,1.16548,0.0946609,0.000242967
0.22,1.17332,0.0990775,0.000238126
0.23,1.18118,0.103503,0.000229084
0.24,1.18906,0.107937,0.000215468
0.25,1.19695,0.112379,0.000196904
0.26,1.20487,0.11683,0.000173014
0.27,1.2128,0.121289,0.000143416
0.28,1.22075,0.125756,0.000107729
0.29,1.22871,0.130231,6.55668e-05
0.3,1.23669,0.134713,1.65424e-05
0.31,1.24468,0.139203,-3.97341e-05
0.32,1.25269,0.1437,-0.000103655
0.33,1.2607,0.148204,-0.000175613
0.34,1.26873,0.152716,-0.000256005
0.35,1.27676,0.157234,-0.000345228
0.36,1.2848,0.161759,-0.000443682
0.37,1.29286,0.166291,-0.000551768
0.38,1.30091,0.170829,-0.000669889
0.39,1.30898,0.175373,-0.000798449
0.4,1.31705,0.179924,-0.000937853
0.41,1.32513,0.18448,-0.00108851
0.42,1.3332,0.189042,-0.00125083
0.43,1.34129,0.19361,-0.00142521
0.44,1.34937,0.198183,-0.00161208
0.45,1.35745,0.202762,-0.00181184
0.46,1.36554,0.207346,-0.0020249
0.47,1.37362,0.211934,-0.00225169
0.48,1.38171,0.216528,-0.0024926
0.49,1.38979,0.221126,-0.00274806
0.5,1.39787,0.225729,-0.00301849
0.51,1.40594,0.230337,-0.00330429
0.52,1.41401,0.234948,-0.00360589
0.53,1.42208,0.239564,-0.00392371
0.54,1.43014,0.244183,-0.00425815
0.55,1.43819,0.248807,-0.00460964
0.56,1.44624,0.253434,-0.00497859
0.57,1.45427,0.258065,-0.00536543
0.58,1.4623,0.262699,-0.00577057
0.59,1.47032,0.267337,-0.00619443
0.6,1.47832,0.271977,-0.00663742
0.61,1.48632,0.276621,-0.00709997
0.62,1.4943,0.281267,-0.00758248
0.63,1.50227,0.285916,-0.00808539
0.64,1.51023,0.290568,-0.00860909
0.65,1.51817,0.295222,-0.00915402
0.66,1.5261,0.299879,-0.00972058
0.67,1.53401,0.304538,-0.0103092
0.68,1.54191,0.309199,-0.0109203
0.69,1.54978,0.313861,-0.0115542
0.7,1.55764,0.318526,-0.0122114
0.71,1.56548,0.323192,-0.0128924
0.72,1.57331,0.32786,-0.0135974
0.73,1.58111,0.33253,-0.014327
0.74,1.58889,0.337201,-0.0150815
0.75,1.59665,0.341873,-0.0158613
0.76,1.60439,0.346546,-0.0166668
0.77,1.61211,0.35122,-0.0174986
0.78,1.6198,0.355896,-0.0183568
0.79,1.62747,0.360572,-0.019242
0.8,1.63511,0.365248,-0.0201546
0.81,1.64273,0.369926,-0.0210949
0.82,1.65033,0.374603,-0.0220634
0.83,1.65789,0.379282,-0.0230604
0.84,1.66544,0.38396,-0.0240863
0.85,1.67295,0.388639,-0.0251416
0.86,1.68043,0.393317,-0.0262266
