crew_id,mission_day,consciousness,consciousness_target
CDR-ALPHA,0,0.82,0.82
CDR-ALPHA,9,0.8201257040350555,0.82
CDR-ALPHA,10,0.8217543278198502,0.82
CDR-ALPHA,11,0.8233317411990734,0.82
CDR-ALPHA,12,0.8248110002796002,0.82
CDR-ALPHA,13,0.8259082966660389,0.82
CDR-ALPHA,14,0.8268715672398288,0.82
CDR-ALPHA,15,0.8277043122327814,0.82
CDR-ALPHA,16,0.8284158102095048,0.82
CDR-ALPHA,17,0.8290609410600133,0.82
CDR-ALPHA,18,0.8302873537027946,0.82
CDR-ALPHA,19,0.8314301606361031,0.82
CDR-ALPHA,27,0.8315072917767077,0.82
CDR-ALPHA,46,0.8315802343715835,0.82
CDR-ALPHA,61,0.8316278774314544,0.82
CDR-ALPHA,62,0.8316531473273177,0.82
CDR-ALPHA,64,0.8320274019723631,0.82
CDR-ALPHA,65,0.83234115788859,0.82
CDR-ALPHA,66,0.8326547841511024,0.82
CDR-ALPHA,74,0.831066384357207,0.82
CDR-ALPHA,110,0.8294054958347563,0.82
CDR-ALPHA,111,0.8276597531837205,0.82
CDR-ALPHA,143,0.8258173324966565,0.82
CDR-ALPHA,144,0.8239784222985207,0.82
CDR-ALPHA,145,0.8220457621032828,0.82
CDR-ALPHA,146,0.8200859230448428,0.82
CDR-ALPHA,155,0.8201464296952983,0.82
CDR-ALPHA,156,0.8201689707478611,0.82
CDR-ALPHA,195,0.82,0.82
CDR-ALPHA,209,0.8201155564679733,0.82
CDR-ALPHA,210,0.8202311961610025,0.82
CDR-ALPHA,218,0.82,0.82
CDR-ALPHA,262,0.8200443647362403,0.82
CDR-ALPHA,276,0.8201610407308049,0.82
CDR-ALPHA,297,0.82,0.82
SCI-BETA,0,0.7,0.7
SCI-BETA,16,0.7001263382025775,0.7
SCI-BETA,21,0.7004263753536438,0.7
SCI-BETA,22,0.7006660941675013,0.7
SCI-BETA,24,0.7008506507002423,0.7
SCI-BETA,25,0.7009430599662296,0.7
SCI-BETA,26,0.7019394986711246,0.7
SCI-BETA,27,0.7024281722153481,0.7
SCI-BETA,28,0.7029428829240152,0.7
SCI-BETA,29,0.7034531626895009,0.7
SCI-BETA,30,0.7041408461269136,0.7
SCI-BETA,39,0.7045055216881156,0.7
SCI-BETA,40,0.7050381514711207,0.7
SCI-BETA,41,0.7052519700887736,0.7
SCI-BETA,42,0.705425862191894,0.7
SCI-BETA,43,0.7056677052074358,0.7
SCI-BETA,44,0.70602213832563,0.7
SCI-BETA,45,0.7066833347433917,0.7
SCI-BETA,46,0.7076311786291124,0.7
SCI-BETA,49,0.7077920489798126,0.7
SCI-BETA,51,0.7083162503621334,0.7
SCI-BETA,52,0.708824622760713,0.7
SCI-BETA,53,0.7095973627439973,0.7
SCI-BETA,54,0.7101944073463793,0.7
SCI-BETA,55,0.7133679121729888,0.7
SCI-BETA,56,0.7165571861838421,0.7
SCI-BETA,57,0.7196632164446851,0.7
SCI-BETA,58,0.7222129803482862,0.7
SCI-BETA,59,0.7246603743829784,0.7
SCI-BETA,60,0.72721150875957,0.7
SCI-BETA,61,0.7291339834298807,0.7
SCI-BETA,62,0.7309941419352852,0.7
SCI-BETA,63,0.7333448437421305,0.7
SCI-BETA,64,0.7357018587917064,0.7
SCI-BETA,74,0.7331244383638198,0.7
SCI-BETA,75,0.7305214736731532,0.7
SCI-BETA,76,0.727876827829222,0.7
SCI-BETA,77,0.7251295245030714,0.7
SCI-BETA,78,0.7226027091047427,0.7
SCI-BETA,92,0.7200212859679792,0.7
SCI-BETA,93,0.7173601461986407,0.7
SCI-BETA,111,0.7175561606286845,0.7
SCI-BETA,112,0.7178863764607143,0.7
SCI-BETA,141,0.7153585718434058,0.7
SCI-BETA,144,0.7128262848373653,0.7
SCI-BETA,145,0.7103106120446614,0.7
SCI-BETA,146,0.7076882133373383,0.7
SCI-BETA,158,0.707745702767957,0.7
SCI-BETA,159,0.7081260099980102,0.7
SCI-BETA,160,0.7085792462982445,0.7
SCI-BETA,161,0.7091043809328282,0.7
SCI-BETA,162,0.7097231992725498,0.7
SCI-BETA,163,0.7105353041392912,0.7
SCI-BETA,190,0.7111319324125025,0.7
SCI-BETA,191,0.711732218103735,0.7
SCI-BETA,192,0.7117679337439615,0.7
SCI-BETA,193,0.7118672580924134,0.7
SCI-BETA,207,0.7093188277684064,0.7
SCI-BETA,228,0.7066356256376375,0.7
SCI-BETA,247,0.7067665860854883,0.7
SCI-BETA,248,0.7068949025818693,0.7
SCI-BETA,249,0.7070484058266423,0.7
SCI-BETA,336,0.7042314744420896,0.7
SCI-BETA,337,0.7012300770477891,0.7
SCI-BETA,338,0.7,0.7
ENG-GAMMA,0,0.55,0.55
ENG-GAMMA,15,0.5501164819733243,0.55
ENG-GAMMA,16,0.5502150962756015,0.55
ENG-GAMMA,18,0.5503809458846207,0.55
ENG-GAMMA,23,0.5504761165223776,0.55
ENG-GAMMA,46,0.55,0.55
ENG-GAMMA,53,0.5502058385900125,0.55
ENG-GAMMA,54,0.5503454777142774,0.55
ENG-GAMMA,58,0.5514290303464143,0.55
ENG-GAMMA,59,0.5522487921187543,0.55
ENG-GAMMA,60,0.5532565520331255,0.55
ENG-GAMMA,61,0.5544463206516883,0.55
ENG-GAMMA,62,0.5552677970967013,0.55
ENG-GAMMA,65,0.5559691056502148,0.55
ENG-GAMMA,66,0.5569463450266975,0.55
ENG-GAMMA,67,0.5578613294818325,0.55
ENG-GAMMA,76,0.5543191584815792,0.55
ENG-GAMMA,89,0.5545979254217465,0.55
ENG-GAMMA,90,0.5551081836329504,0.55
ENG-GAMMA,91,0.5553079129850546,0.55
ENG-GAMMA,92,0.5558974261199479,0.55
ENG-GAMMA,93,0.556568973642562,0.55
ENG-GAMMA,94,0.5566864690246467,0.55
ENG-GAMMA,109,0.5570956456441072,0.55
ENG-GAMMA,110,0.5571512217271045,0.55
ENG-GAMMA,111,0.5572104310371471,0.55
ENG-GAMMA,149,0.5536766781223686,0.55
ENG-GAMMA,196,0.55,0.55
ENG-GAMMA,202,0.5509850356230107,0.55
ENG-GAMMA,203,0.5530187082324256,0.55
ENG-GAMMA,204,0.5552054776561594,0.55
ENG-GAMMA,205,0.5576185995721796,0.55
ENG-GAMMA,206,0.5600476657406648,0.55
ENG-GAMMA,207,0.5625068450714209,0.55
ENG-GAMMA,208,0.5645412716299818,0.55
ENG-GAMMA,209,0.5665278766742056,0.55
ENG-GAMMA,213,0.5617667115494681,0.55
ENG-GAMMA,214,0.5576158972289916,0.55
ENG-GAMMA,215,0.5534697495609346,0.55
ENG-GAMMA,229,0.55,0.55
ENG-GAMMA,235,0.5504255263780728,0.55
ENG-GAMMA,236,0.5509449386877125,0.55
ENG-GAMMA,237,0.5519451964903513,0.55
ENG-GAMMA,238,0.5529411180845138,0.55
ENG-GAMMA,239,0.5540349190994369,0.55
ENG-GAMMA,240,0.5550450346110939,0.55
ENG-GAMMA,241,0.5560113491382046,0.55
ENG-GAMMA,242,0.5568321756459372,0.55
ENG-GAMMA,309,0.553269155968006,0.55
ENG-GAMMA,310,0.55,0.55
MED-DELTA,0,0.75,0.75
MED-DELTA,14,0.7501274789984232,0.75
MED-DELTA,15,0.7502511407169095,0.75
MED-DELTA,16,0.7502613713625682,0.75
MED-DELTA,18,0.7503746383594316,0.75
MED-DELTA,19,0.7504333903101033,0.75
MED-DELTA,22,0.7506513260933633,0.75
MED-DELTA,23,0.7510809297556705,0.75
MED-DELTA,25,0.7518081910606188,0.75
MED-DELTA,26,0.7526096673300393,0.75
MED-DELTA,27,0.7530842485544426,0.75
MED-DELTA,28,0.7544045616510873,0.75
MED-DELTA,29,0.755781330055154,0.75
MED-DELTA,30,0.7570809938172076,0.75
MED-DELTA,31,0.7582723930894236,0.75
MED-DELTA,32,0.7594747106061199,0.75
MED-DELTA,33,0.7604373421613884,0.75
MED-DELTA,34,0.7616544127078891,0.75
MED-DELTA,35,0.7623290438887859,0.75
MED-DELTA,36,0.7629540292977398,0.75
MED-DELTA,37,0.7636784849625483,0.75
MED-DELTA,68,0.7643460594575594,0.75
MED-DELTA,69,0.7649879998183193,0.75
MED-DELTA,70,0.7657525578344314,0.75
MED-DELTA,71,0.7664196447142245,0.75
MED-DELTA,72,0.7671289793877203,0.75
MED-DELTA,73,0.7679407885023268,0.75
MED-DELTA,74,0.768786142615829,0.75
MED-DELTA,75,0.769207765914321,0.75
MED-DELTA,76,0.7695320265422522,0.75
MED-DELTA,77,0.7698480983408262,0.75
MED-DELTA,88,0.7676366034930517,0.75
MED-DELTA,114,0.7676493586286237,0.75
MED-DELTA,125,0.7676738827625429,0.75
MED-DELTA,126,0.7676892623794503,0.75
MED-DELTA,128,0.7678095787792034,0.75
MED-DELTA,130,0.7679419802083589,0.75
MED-DELTA,155,0.7685623726801522,0.75
MED-DELTA,156,0.769253577701073,0.75
MED-DELTA,157,0.7698557442962082,0.75
MED-DELTA,158,0.7703205109058227,0.75
MED-DELTA,159,0.7706362677631321,0.75
MED-DELTA,160,0.7709136255750878,0.75
MED-DELTA,161,0.7712240582442197,0.75
MED-DELTA,162,0.7713404578471491,0.75
MED-DELTA,187,0.7714765203144703,0.75
MED-DELTA,188,0.7714969652671133,0.75
MED-DELTA,195,0.7690631349853216,0.75
MED-DELTA,196,0.7662338695481679,0.75
MED-DELTA,197,0.7638088549189802,0.75
MED-DELTA,198,0.7616571084032929,0.75
MED-DELTA,199,0.7596003621450429,0.75
MED-DELTA,211,0.7572693598611508,0.75
MED-DELTA,224,0.7546876224336224,0.75
MED-DELTA,225,0.7521304999468611,0.75
MED-DELTA,226,0.75,0.75
MED-DELTA,245,0.7501533511077249,0.75
MED-DELTA,302,0.75,0.75
MED-DELTA,346,0.7500768093729979,0.75
MED-DELTA,350,0.75,0.75
