crew_id,mission_day,consciousness,consciousness_target
CDR-ALPHA,0,0.82,0.82
CDR-ALPHA,12,0.8202519635085305,0.82
CDR-ALPHA,13,0.8203719786598774,0.82
CDR-ALPHA,14,0.8209186595650046,0.82
CDR-ALPHA,15,0.8213632806518218,0.82
CDR-ALPHA,16,0.8216303190936632,0.82
CDR-ALPHA,17,0.8218804123900071,0.82
CDR-ALPHA,18,0.8220996695142941,0.82
CDR-ALPHA,22,0.8205678217909056,0.82
CDR-ALPHA,23,0.82,0.82
CDR-ALPHA,38,0.820213452423745,0.82
CDR-ALPHA,39,0.8202920570435056,0.82
CDR-ALPHA,40,0.8203069700417611,0.82
CDR-ALPHA,44,0.8210994491199447,0.82
CDR-ALPHA,45,0.8220839937949631,0.82
CDR-ALPHA,46,0.8227389484485751,0.82
CDR-ALPHA,47,0.8234324151707312,0.82
CDR-ALPHA,48,0.8240080763332062,0.82
CDR-ALPHA,49,0.8245172112901484,0.82
CDR-ALPHA,50,0.8250392420110964,0.82
CDR-ALPHA,51,0.8263636373859888,0.82
CDR-ALPHA,52,0.8277170604304824,0.82
CDR-ALPHA,53,0.8289635019380527,0.82
CDR-ALPHA,54,0.8294428433567013,0.82
CDR-ALPHA,55,0.829916941577083,0.82
CDR-ALPHA,56,0.8305321897818365,0.82
CDR-ALPHA,57,0.8310689097246405,0.82
CDR-ALPHA,58,0.8316006079462543,0.82
CDR-ALPHA,59,0.8321122989974413,0.82
CDR-ALPHA,60,0.832544115541614,0.82
CDR-ALPHA,63,0.8329089822173271,0.82
CDR-ALPHA,64,0.8331113935448113,0.82
CDR-ALPHA,65,0.8333078942361047,0.82
CDR-ALPHA,66,0.833522206139526,0.82
CDR-ALPHA,67,0.8337434452117328,0.82
CDR-ALPHA,72,0.8340120177301067,0.82
CDR-ALPHA,86,0.8340740749483553,0.82
CDR-ALPHA,87,0.8340940443173787,0.82
CDR-ALPHA,88,0.8342103307681018,0.82
CDR-ALPHA,89,0.8344487433031077,0.82
CDR-ALPHA,90,0.8348507054467713,0.82
CDR-ALPHA,91,0.8355669858000525,0.82
CDR-ALPHA,92,0.8362475236585889,0.82
CDR-ALPHA,93,0.8368563725523659,0.82
CDR-ALPHA,94,0.8369718315282757,0.82
CDR-ALPHA,96,0.8370257942121222,0.82
CDR-ALPHA,97,0.8371879452618562,0.82
CDR-ALPHA,98,0.8373591828376686,0.82
CDR-ALPHA,100,0.8374455292648358,0.82
