crew_id,mission_day,consciousness,consciousness_target
CDR-ALPHA,0,0.82,0.82
CDR-ALPHA,46,0.8200018692025328,0.82
CDR-ALPHA,49,0.8200676581791253,0.82
CDR-ALPHA,50,0.820242235558326,0.82
CDR-ALPHA,51,0.8206352252110044,0.82
CDR-ALPHA,52,0.821010474594117,0.82
CDR-ALPHA,53,0.8214746869563165,0.82
CDR-ALPHA,54,0.8218480089906085,0.82
CDR-ALPHA,55,0.8222442952222493,0.82
CDR-ALPHA,74,0.8202427415299738,0.82
CDR-ALPHA,113,0.820652755102418,0.82
CDR-ALPHA,114,0.8210543626242587,0.82
CDR-ALPHA,115,0.8220036635471867,0.82
CDR-ALPHA,116,0.8227951966267126,0.82
CDR-ALPHA,117,0.8235884277391777,0.82
CDR-ALPHA,118,0.8248889201092344,0.82
CDR-ALPHA,119,0.8262040174699025,0.82
CDR-ALPHA,120,0.8275041908981833,0.82
CDR-ALPHA,121,0.8287668058621076,0.82
CDR-ALPHA,122,0.8294702984108624,0.82
CDR-ALPHA,123,0.8295846863811411,0.82
CDR-ALPHA,124,0.829682011426199,0.82
CDR-ALPHA,128,0.8280062596000343,0.82
CDR-ALPHA,129,0.826316468792267,0.82
CDR-ALPHA,130,0.8242781854758219,0.82
CDR-ALPHA,131,0.8227004900243479,0.82
CDR-ALPHA,132,0.8210790826638765,0.82
CDR-ALPHA,133,0.82,0.82
CDR-ALPHA,162,0.8201962537867489,0.82
CDR-ALPHA,163,0.8202978209444259,0.82
CDR-ALPHA,164,0.8203338734547594,0.82
SCI-BETA,0,0.7,0.7
SCI-BETA,14,0.7001187939645275,0.7
SCI-BETA,23,0.7,0.7
SCI-BETA,27,0.7000051927785631,0.7
SCI-BETA,28,0.7001555344335513,0.7
SCI-BETA,29,0.7004095320678797,0.7
SCI-BETA,30,0.7007584613181062,0.7
SCI-BETA,31,0.7009958182863791,0.7
SCI-BETA,32,0.7020264670678005,0.7
SCI-BETA,33,0.7029805149550679,0.7
SCI-BETA,34,0.7042434057045895,0.7
SCI-BETA,35,0.7046233294538752,0.7
SCI-BETA,36,0.7050061416101013,0.7
SCI-BETA,40,0.705308116151759,0.7
SCI-BETA,41,0.7054495277008659,0.7
SCI-BETA,44,0.7055041783550416,0.7
SCI-BETA,45,0.7064758588194469,0.7
SCI-BETA,46,0.7075625748739073,0.7
SCI-BETA,47,0.7083816346498008,0.7
SCI-BETA,48,0.7094689957734447,0.7
SCI-BETA,49,0.7095740244077688,0.7
SCI-BETA,51,0.7100225153999354,0.7
SCI-BETA,52,0.7103671482840086,0.7
SCI-BETA,53,0.7107313512738893,0.7
SCI-BETA,54,0.7109880100361122,0.7
SCI-BETA,57,0.711489923335959,0.7
SCI-BETA,60,0.711513495325018,0.7
SCI-BETA,61,0.7115142320226493,0.7
SCI-BETA,63,0.7118522125754159,0.7
SCI-BETA,64,0.7122459823148761,0.7
SCI-BETA,65,0.7124347634366545,0.7
SCI-BETA,66,0.712900987984002,0.7
SCI-BETA,67,0.7133916199996252,0.7
SCI-BETA,68,0.7134548040849378,0.7
SCI-BETA,70,0.7136608199481854,0.7
SCI-BETA,71,0.7140312327611853,0.7
SCI-BETA,72,0.7149948062582874,0.7
SCI-BETA,73,0.7152779339088464,0.7
SCI-BETA,74,0.7154639431105881,0.7
SCI-BETA,84,0.7157227594648913,0.7
SCI-BETA,85,0.716058397871179,0.7
SCI-BETA,86,0.7164161717728623,0.7
SCI-BETA,87,0.7165017412350466,0.7
SCI-BETA,90,0.7166254179934586,0.7
SCI-BETA,91,0.7170091671222112,0.7
SCI-BETA,92,0.7177600889377069,0.7
SCI-BETA,93,0.7183870831007362,0.7
SCI-BETA,98,0.718528766467989,0.7
SCI-BETA,99,0.7186792611567013,0.7
SCI-BETA,100,0.7191052249419148,0.7
SCI-BETA,101,0.7195393690816125,0.7
SCI-BETA,102,0.7198092466634968,0.7
SCI-BETA,103,0.7211317643693823,0.7
SCI-BETA,104,0.7230870598879191,0.7
SCI-BETA,105,0.7250499113343986,0.7
SCI-BETA,106,0.7260949703943304,0.7
SCI-BETA,107,0.727133034607063,0.7
SCI-BETA,108,0.7279360417561014,0.7
SCI-BETA,109,0.7287002609876457,0.7
SCI-BETA,110,0.7291079334560928,0.7
SCI-BETA,111,0.7294218413094533,0.7
SCI-BETA,112,0.7299873092195892,0.7
SCI-BETA,120,0.7302574210267195,0.7
SCI-BETA,121,0.7304456709523092,0.7
SCI-BETA,122,0.7304777836094392,0.7
SCI-BETA,124,0.7307894500833895,0.7
SCI-BETA,125,0.7311570665915215,0.7
SCI-BETA,127,0.7312056811354392,0.7
SCI-BETA,128,0.7312701769867536,0.7
SCI-BETA,133,0.7315756349383186,0.7
SCI-BETA,136,0.7325911637573598,0.7
SCI-BETA,137,0.733153261391604,0.7
SCI-BETA,138,0.7338131015805268,0.7
SCI-BETA,139,0.7345485143573433,0.7
SCI-BETA,140,0.7346758364630839,0.7
SCI-BETA,152,0.7348430207231073,0.7
SCI-BETA,153,0.7349672570833182,0.7
SCI-BETA,154,0.7350072349081281,0.7
SCI-BETA,167,0.735110983341256,0.7
SCI-BETA,168,0.735820354648974,0.7
SCI-BETA,170,0.7363604322545164,0.7
SCI-BETA,172,0.7363665347339434,0.7
SCI-BETA,173,0.7366757812670675,0.7
SCI-BETA,174,0.7368196698177115,0.7
SCI-BETA,175,0.7372185871672655,0.7
SCI-BETA,176,0.7376189750676772,0.7
ENG-GAMMA,0,0.55,0.55
ENG-GAMMA,17,0.5500350480353382,0.55
ENG-GAMMA,18,0.5502318026536077,0.55
ENG-GAMMA,19,0.5514919092876964,0.55
ENG-GAMMA,20,0.5526439175032978,0.55
ENG-GAMMA,21,0.5535107546551801,0.55
ENG-GAMMA,26,0.5538980873428521,0.55
ENG-GAMMA,27,0.5542224929763045,0.55
ENG-GAMMA,28,0.5545154834225241,0.55
ENG-GAMMA,36,0.5553592368119261,0.55
ENG-GAMMA,37,0.5563365977931111,0.55
ENG-GAMMA,38,0.5584672119963374,0.55
ENG-GAMMA,39,0.5604684427864224,0.55
ENG-GAMMA,40,0.5624569630670376,0.55
ENG-GAMMA,41,0.564391461107976,0.55
ENG-GAMMA,42,0.5654705872243362,0.55
ENG-GAMMA,43,0.5665847334522222,0.55
ENG-GAMMA,45,0.5691834817790518,0.55
ENG-GAMMA,46,0.5711458021110015,0.55
ENG-GAMMA,47,0.5736402154460504,0.55
ENG-GAMMA,48,0.5747414291779704,0.55
ENG-GAMMA,49,0.5760477804357553,0.55
ENG-GAMMA,50,0.5772545374436774,0.55
ENG-GAMMA,51,0.5791062367173192,0.55
ENG-GAMMA,52,0.581405045593462,0.55
ENG-GAMMA,53,0.5837155761462233,0.55
ENG-GAMMA,54,0.5863132404271878,0.55
ENG-GAMMA,55,0.588237574433592,0.55
ENG-GAMMA,56,0.5903618904804776,0.55
ENG-GAMMA,57,0.5912981713713331,0.55
ENG-GAMMA,58,0.5920546134206046,0.55
ENG-GAMMA,59,0.5924886894056868,0.55
ENG-GAMMA,60,0.5929861176744134,0.55
ENG-GAMMA,66,0.5958030169135561,0.55
ENG-GAMMA,67,0.5986089525081779,0.55
ENG-GAMMA,68,0.6016841320805713,0.55
ENG-GAMMA,69,0.6046818708658278,0.55
ENG-GAMMA,70,0.607665044366042,0.55
ENG-GAMMA,71,0.6106157075605771,0.55
ENG-GAMMA,72,0.6131709841346913,0.55
ENG-GAMMA,73,0.6160680943043763,0.55
ENG-GAMMA,74,0.6176308619680858,0.55
ENG-GAMMA,75,0.6181423863793274,0.55
ENG-GAMMA,89,0.6184570729781242,0.55
ENG-GAMMA,90,0.6187690097314407,0.55
ENG-GAMMA,107,0.6190450426888087,0.55
ENG-GAMMA,108,0.619480070401851,0.55
ENG-GAMMA,114,0.620125452728517,0.55
