# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00053802
# FixedPoint ~ 149.999  |x*-D0|=0
# CMB: Cn=1 Cs=0.418877 pH@t=100=1.43304
# Market: eff=0.785004
# SNR=12.6491 quality=1
# Fused=0.989933 conf=0.9
# PID out=0.364161
# vol=0.014004 ROI=0.0196078 risk=0.32
# consensus=0.989933 validation=0.78 health=0.825
# corr=0.996419 procRate=500 errRate=0.003
# t,psi,gamma,Ec
0,1.00185,0.00418877,0
0.01,1.00375,0.00837699,3.2136e-06
0.02,1.00569,0.0125647,9.57747e-06
0.03,1.00767,0.0167521,1.90237e-05
0.04,1.0097,0.0209393,3.14798e-05
0.05,1.01176,0.0251262,4.68689e-05
0.06,1.01387,0.029313,6.511e-05
0.07,1.01601,0.0334997,8.61178e-05
0.08,1.01819,0.0376865,0.000109803
0.09,1.02041,0.0418734,0.000136071
0.1,1.02266,0.0460604,0.000164827
0.11,1.02494,0.0502476,0.000195968
0.12,1.02725,0.0544351,0.000229389
0.13,1.0296,0.058623,0.000264983
0.14,1.03197,0.0628111,0.000302638
0.15,1.03437,0.0669997,0.000342238
0.16,1.0368,0.0711888,0.000383664
0.17,1.03925,0.0753783,0.000426796
0.18,1.04172,0.0795684,0.000471508
0.19,1.04422,0.083759,0.000517673
0.2,1.04675,0.0879502,0.000565159
0.21,1.04929,0.092142,0.000613833
0.22,1.05185,0.0963345,0.000663558
0.23,1.05443,0.100528,0.000714195
0.24,1.05703,0.104721,0.000765603
0.25,1.05964,0.108916,0.000817638
0.26,1.06227,0.113111,0.000870152
0.27,1.06491,0.117307,0.000922998
0.28,1.06757,0.121503,0.000976023
0.29,1.07024,0.125701,0.00102907
0.3,1.07292,0.129899,0.001082
0.31,1.0756,0.134097,0.00113463
0.32,1.0783,0.138297,0.00118683
0.33,1.08101,0.142497,0.00123841
0.34,1.08372,0.146697,0.00128922
0.35,1.08644,0.150899,0.0013391
0.36,1.08916,0.155101,0.00138788
0.37,1.09189,0.159304,0.0014354
0.38,1.09462,0.163507,0.00148147
0.39,1.09735,0.167711,0.00152594
0.4,1.10008,0.171916,0.00156862
0.41,1.10281,0.176121,0.00160936
0.42,1.10554,0.180327,0.00164796
0.43,1.10827,0.184533,0.00168427
0.44,1.111,0.18874,0.00171809
0.45,1.11373,0.192947,0.00174926
0.46,1.11645,0.197155,0.0017776
0.47,1.11916,0.201363,0.00180292
0.48,1.12187,0.205571,0.00182505
0.49,1.12457,0.20978,0.0018438
0.5,1.12727,0.213989,0.001859
0.51,1.12995,0.218199,0.00187047
0.52,1.13263,0.222408,0.00187801
0.53,1.1353,0.226618,0.00188145
0.54,1.13795,0.230828,0.00188061
0.55,1.1406,0.235038,0.0018753
0.56,1.14323,0.239248,0.00186534
0.57,1.14585,0.243458,0.00185055
0.58,1.14845,0.247668,0.00183073
0.59,1.15104,0.251878,0.00180572
0.6,1.15362,0.256088,0.00177531
0.61,1.15617,0.260298,0.00173934
