# MU=0.8 KE=0
# Core: D0=149.999 I3=6.49394 S=23.0983 F'(D0)=0.00061488
# t,psi,gamma,Ec
0,1.00085,0.00418877,0
0.01,1.00175,0.00837468,3.23035e-06
0.02,1.00271,0.0125579,9.67023e-06
0.03,1.00371,0.0167384,1.92937e-05
0.04,1.00477,0.0209165,3.207e-05
0.05,1.00587,0.0250922,4.79635e-05
0.06,1.00702,0.0292656,6.69336e-05
0.07,1.00821,0.0334368,8.89356e-05
0.08,1.00944,0.037606,0.00011392
0.09,1.01072,0.0417732,0.000141833
0.1,1.01203,0.0459384,0.000172616
0.11,1.01339,0.0501019,0.000206207
0.12,1.01478,0.0542637,0.000242541
0.13,1.01621,0.0584238,0.000281546
0.14,1.01767,0.0625824,0.000323149
0.15,1.01917,0.0667394,0.000367272
0.16,1.0207,0.0708951,0.000413834
0.17,1.02225,0.0750494,0.000462749
0.18,1.02384,0.0792024,0.00051393
0.19,1.02546,0.0833542,0.000567285
0.2,1.0271,0.0875047,0.000622718
0.21,1.02877,0.0916542,0.000680133
0.22,1.03046,0.0958026,0.000739428
0.23,1.03218,0.0999499,0.000800499
0.24,1.03392,0.104096,0.000863239
0.25,1.03568,0.108242,0.000927539
0.26,1.03746,0.112386,0.000993287
0.27,1.03925,0.11653,0.00106037
0.28,1.04107,0.120673,0.00112866
0.29,1.0429,0.124814,0.00119806
0.3,1.04474,0.128956,0.00126842
0.31,1.0466,0.133096,0.00133964
0.32,1.04847,0.137236,0.00141158
0.33,1.05036,0.141374,0.00148411
0.34,1.05225,0.145512,0.00155711
0.35,1.05416,0.14965,0.00163044
0.36,1.05607,0.153787,0.00170397
0.37,1.05799,0.157923,0.00177756
0.38,1.05992,0.162058,0.00185108
0.39,1.06185,0.166193,0.00192438
0.4,1.06379,0.170326,0.00199733
0.41,1.06573,0.17446,0.00206978
0.42,1.06768,0.178592,0.00214159
0.43,1.06962,0.182724,0.00221262
0.44,1.07157,0.186855,0.00228272
0.45,1.07352,0.190986,0.00235173
0.46,1.07546,0.195115,0.00241953
0.47,1.0774,0.199244,0.00248594
0.48,1.07934,0.203372,0.00255084
0.49,1.08128,0.2075,0.00261405
0.5,1.08321,0.211626,0.00267544
0.51,1.08514,0.215752,0.00273485
0.52,1.08706,0.219877,0.00279213
0.53,1.08897,0.224001,0.00284711
0.54,1.09088,0.228124,0.00289966
0.55,1.09278,0.232246,0.00294961
0.56,1.09467,0.236368,0.00299681
0.57,1.09654,0.240488,0.0030411
0.58,1.09841,0.244607,0.00308232
0.59,1.10026,0.248726,0.00312033
0.6,1.10211,0.252843,0.00315496
0.61,1.10394,0.256959,0.00318605
0.62,1.10575,0.261074,0.00321346
0.63,1.10755,0.265188,0.00323702
0.64,1.10934,0.2693,0.00325657
0.65,1.11111,0.273412,0.00327197
0.66,1.11286,0.277522,0.00328304
0.67,1.11459,0.281631,0.00328964
0.68,1.11631,0.285738,0.00329162
0.69,1.11801,0.289844,0.0032888
0.7,1.11969,0.293948,0.00328105
0.71,1.12135,0.298051,0.00326819
0.72,1.12299,0.302153,0.00325008
0.73,1.1246,0.306253,0.00322657
0.74,1.1262,0.310351,0.00319749
0.75,1.12778,0.314447,0.0031627
0.76,1.12933,0.318542,0.00312204
0.77,1.13086,0.322635,0.00307535
0.78,1.13236,0.326726,0.0030225
0.79,1.13384,0.330816,0.00296332
0.8,1.1353,0.334903,0.00289766
0.81,1.13673,0.338989,0.00282538
0.82,1.13813,0.343072,0.00274632
0.83,1.13951,0.347153,0.00266034
0.84,1.14086,0.351232,0.0025673
