# MU=0.16905 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
0.00,1.0071595000,0.0041887679,0.0000000000
0.01,1.0143597383,0.0083891661,0.0000031246
0.02,1.0215997703,0.0126010943,0.0000090834
0.03,1.0288786526,0.0168244484,0.0000175813
0.04,1.0361954432,0.0210591205,0.0000283187
0.05,1.0435492017,0.0253049992,0.0000409916
0.06,1.0509389891,0.0295619701,0.0000552916
0.07,1.0583638679,0.0338299152,0.0000709060
0.08,1.0658229021,0.0381087134,0.0000875179
0.09,1.0733151576,0.0423982411,0.0001048065
0.10,1.0808397017,0.0466983713,0.0001224466
0.11,1.0883956036,0.0510089747,0.0001401094
0.12,1.0959819341,0.0553299194,0.0001574620
0.13,1.1035977662,0.0596610709,0.0001741679
0.14,1.1112421744,0.0640022926,0.0001898869
0.15,1.1189142355,0.0683534457,0.0002042750
0.16,1.1266130281,0.0727143893,0.0002169848
0.17,1.1343376330,0.0770849806,0.0002276656
0.18,1.1420871331,0.0814650752,0.0002359631
0.19,1.1498606136,0.0858545267,0.0002415201
0.20,1.1576571618,0.0902531874,0.0002439758
0.21,1.1654758677,0.0946609082,0.0002429666
0.22,1.1733158233,0.0990775385,0.0002381258
0.23,1.1811761235,0.1035029266,0.0002290839
0.24,1.1890558655,0.1079369199,0.0002154684
0.25,1.1969541492,0.1123793645,0.0001969042
0.26,1.2048700774,0.1168301058,0.0001730135
0.27,1.2128027554,0.1212889885,0.0001434160
0.28,1.2207512917,0.1257558566,0.0001077288
0.29,1.2287147975,0.1302305534,0.0000655668
0.30,1.2366923872,0.1347129220,0.0000165424
0.31,1.2446831781,0.1392028050,-0.0000397341
0.32,1.2526862910,0.1437000447,-0.0001036546
0.33,1.2607008496,0.1482044832,-0.0001756128
0.34,1.2687259814,0.1527159627,-0.0002560047
0.35,1.2767608171,0.1572343253,-0.0003452279
0.36,1.2848044908,0.1617594130,-0.0004436820
0.37,1.2928561405,0.1662910682,-0.0005517680
0.38,1.3009149076,0.1708291335,-0.0006698888
0.39,1.3089799377,0.1753734518,-0.0007984486
0.40,1.3170503799,0.1799238663,-0.0009378532
0.41,1.3251253873,0.1844802207,-0.0010885098
0.42,1.3332041173,0.1890423593,-0.0012508266
0.43,1.3412857312,0.1936101271,-0.0014252132
0.44,1.3493693946,0.1981833694,-0.0016120802
0.45,1.3574542774,0.2027619325,-0.0018118395
0.46,1.3655395539,0.2073456634,-0.0020249035
0.47,1.3736244029,0.2119344101,-0.0022516857
0.48,1.3817080079,0.2165280211,-0.0024926005
0.49,1.3897895568,0.2211263463,-0.0027480627
0.50,1.3978682424,0.2257292362,-0.0030184880
0.51,1.4059432625,0.2303365425,-0.0033042924
0.52,1.4140138197,0.2349481181,-0.0036058926
0.53,1.4220791215,0.2395638167,-0.0039237054
0.54,1.4301383806,0.2441834936,-0.0042581482
0.55,1.4381908151,0.2488070048,-0.0046096385
0.56,1.4462356482,0.2534342079,-0.0049785939
0.57,1.4542721085,0.2580649617,-0.0053654322
0.58,1.4622994300,0.2626991261,-0.0057705710
0.59,1.4703168524,0.2673365626,-0.0061944281
0.60,1.4783236210,0.2719771339,-0.0066374210
0.61,1.4863189868,0.2766207041,-0.0070999669
0.62,1.4943022066,0.2812671387,-0.0075824830
0.63,1.5022725432,0.2859163046,-0.0080853859
0.64,1.5102292653,0.2905680703,-0.0086090919
0.65,1.5181716477,0.2952223055,-0.0091540167
0.66,1.5260989714,0.2998788816,-0.0097205755
0.67,1.5340105234,0.3045376715,-0.0103091830
0.68,1.5419055975,0.3091985493,-0.0109202529
0.69,1.5497834935,0.3138613911,-0.0115541984
0.70,1.5576435178,0.3185260742,-0.0122114319
0.71,1.5654849834,0.3231924775,-0.0128923646
0.72,1.5733072100,0.3278604815,-0.0135974072
0.73,1.5811095240,0.3325299682,-0.0143269689
0.74,1.5888912585,0.3372008212,-0.0150814583
0.75,1.5966517537,0.3418729256,-0.0158612825
0.76,1.6043903565,0.3465461682,-0.0166668477
0.77,1.6121064210,0.3512204373,-0.0174985585
0.78,1.6197993086,0.3558956226,-0.0183568186
0.79,1.6274683874,0.3605716157,-0.0192420299
0.80,1.6351130333,0.3652483095,-0.0201545934
0.81,1.6427326292,0.3699255985,-0.0210949081
0.82,1.6503265656,0.3746033789,-0.0220633719
0.83,1.6578942402,0.3792815484,-0.0230603808
0.84,1.6654350587,0.3839600060,-0.0240863293
0.85,1.6729484339,0.3886386527,-0.0251416103
0.86,1.6804337868,0.3933173906,-0.0262266149
0.87,1.6878905457,0.3979961236,-0.0273417323
0.88,1.6953181471,0.4026747571,-0.0284873502
0.89,1.7027160351,0.4073531978,-0.0296638540
0.90,1.7100836619,0.4120313542,-0.0308716274
0.91,1.7174204876,0.4167091361,-0.0321110523
0.92,1.7247259806,0.4213864548,-0.0333825083
0.93,1.7319996172,0.4260632231,-0.0346863731
0.94,1.7392408819,0.4307393553,-0.0360230222
0.95,1.7464492676,0.4354147670,-0.0373928292
0.96,1.7536242754,0.4400893754,-0.0387961653
0.97,1.7607654147,0.4447630990,-0.0402333995
0.98,1.7678722036,0.4494358578,-0.0417048987
0.99,1.7749441683,0.4541075732,-0.0432110274
1.00,1.7819808438,0.4587781678,-0.0447521477
1.01,1.7889817735,0.4634475658,-0.0463286197
1.02,1.7959465095,0.4681156926,-0.0479408006
1.03,1.8028746126,0.4727824750,-0.0495890456
1.04,1.8097656522,0.4774478411,-0.0512737073
1.05,1.8166192066,0.4821117203,-0.0529951356
1.06,1.8234348628,0.4867740432,-0.0547536783
1.07,1.8302122168,0.4914347419,-0.0565496803
1.08,1.8369508734,0.4960937495,-0.0583834842
1.09,1.8436504462,0.5007510005,-0.0602554298
1.10,1.8503105580,0.5054064307,-0.0621658543
1.11,1.8569308406,0.5100599769,-0.0641150923
1.12,1.8635109347,0.5147115772,-0.0661034758
1.13,1.8700504901,0.5193611709,-0.0681313341
1.14,1.8765491660,0.5240086984,-0.0701989935
1.15,1.8830066303,0.5286541013,-0.0723067780
1.16,1.8894225606,0.5332973223,-0.0744550085
1.17,1.8957966433,0.5379383053,-0.0766440032
1.18,1.9021285742,0.5425769951,-0.0788740778
1.19,1.9084180586,0.5472133378,-0.0811455446
1.20,1.9146648107,0.5518472804,-0.0834587137
1.21,1.9208685543,0.5564787711,-0.0858138920
1.22,1.9270290226,0.5611077590,-0.0882113836
1.23,1.9331459580,0.5657341942,-0.0906514897
1.24,1.9392191124,0.5703580280,-0.0931345088
1.25,1.9452482471,0.5749792125,-0.0956607363
1.26,1.9512331330,0.5795977008,-0.0982304649
1.27,1.9571735502,0.5842134470,-0.1008439841
1.28,1.9630692885,0.5888264062,-0.1035015808
1.29,1.9689201471,0.5934365342,-0.1062035388
1.30,1.9747259348,0.5980437880,-0.1089501390
1.31,1.9804864698,0.6026481253,-0.1117416594
1.32,1.9862015799,0.6072495047,-0.1145783751
1.33,1.9918711026,0.6118478857,-0.1174605580
1.34,1.9974948847,0.6164432287,-0.1203884774
1.35,2.0030727828,0.6210354949,-0.1233623995
1.36,2.0086046630,0.6256246463,-0.1263825875
1.37,2.0140904010,0.6302106456,-0.1294493017
1.38,2.0195298820,0.6347934566,-0.1325627995
1.39,2.0249230010,0.6393730436,-0.1357233353
1.40,2.0302696624,0.6439493717,-0.1389311605
1.41,2.0355697803,0.6485224069,-0.1421865238
1.42,2.0408232784,0.6530921158,-0.1454896708
1.43,2.0460300900,0.6576584659,-0.1488408440
1.44,2.0511901581,0.6622214251,-0.1522402833
1.45,2.0563034351,0.6667809624,-0.1556882256
1.46,2.0613698831,0.6713370472,-0.1591849048
1.47,2.0663894739,0.6758896497,-0.1627305520
