# MU=0.16905 KE=0.50000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000129931830
# t,psi,gamma,Ec
0.00,1.0000000000,0.0040000000,0.0000000000
0.01,0.9983295000,0.0039800000,0.0000397335
0.02,0.9966617240,0.0039601000,0.0000792023
0.03,0.9949966678,0.0039402995,0.0001184082
0.04,0.9933343275,0.0039205980,0.0001573528
0.05,0.9916746988,0.0039009950,0.0001960380
0.06,0.9900177777,0.0038814900,0.0002344654
0.07,0.9883635601,0.0038620826,0.0002726368
0.08,0.9867120419,0.0038427722,0.0003105539
0.09,0.9850632190,0.0038235583,0.0003482184
0.10,0.9834170875,0.0038044405,0.0003856319
0.11,0.9817736431,0.0037854183,0.0004227962
0.12,0.9801328818,0.0037664912,0.0004597128
0.13,0.9784947996,0.0037476588,0.0004963834
0.14,0.9768593925,0.0037289205,0.0005328097
0.15,0.9752266563,0.0037102759,0.0005689933
0.16,0.9735965870,0.0036917245,0.0006049358
0.17,0.9719691806,0.0036732659,0.0006406389
0.18,0.9703444330,0.0036548995,0.0006761040
0.19,0.9687223402,0.0036366250,0.0007113328
0.20,0.9671028983,0.0036184419,0.0007463268
0.21,0.9654861030,0.0036003497,0.0007810877
0.22,0.9638719505,0.0035823480,0.0008156170
0.23,0.9622604367,0.0035644362,0.0008499161
0.24,0.9606515576,0.0035466140,0.0008839867
0.25,0.9590453092,0.0035288810,0.0009178303
0.26,0.9574416876,0.0035112366,0.0009514483
0.27,0.9558406886,0.0034936804,0.0009848423
0.28,0.9542423083,0.0034762120,0.0010180138
0.29,0.9526465427,0.0034588309,0.0010509643
0.30,0.9510533879,0.0034415368,0.0010836951
0.31,0.9494628398,0.0034243291,0.0011162078
0.32,0.9478748945,0.0034072074,0.0011485039
0.33,0.9462895481,0.0033901714,0.0011805847
0.34,0.9447067964,0.0033732205,0.0012124518
0.35,0.9431266357,0.0033563544,0.0012441065
0.36,0.9415490619,0.0033395727,0.0012755502
0.37,0.9399740711,0.0033228748,0.0013067843
0.38,0.9384016593,0.0033062604,0.0013378103
0.39,0.9368318226,0.0032897291,0.0013686296
0.40,0.9352645570,0.0032732805,0.0013992434
0.41,0.9336998587,0.0032569141,0.0014296532
0.42,0.9321377237,0.0032406295,0.0014598603
0.43,0.9305781480,0.0032244264,0.0014898661
0.44,0.9290211278,0.0032083042,0.0015196720
0.45,0.9274666591,0.0031922627,0.0015492791
0.46,0.9259147380,0.0031763014,0.0015786890
0.47,0.9243653606,0.0031604199,0.0016079028
0.48,0.9228185231,0.0031446178,0.0016369219
