# MU=0.15000 KE=0.30000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000115290000
# t,psi,gamma,Ec
0.00,1.0073500000,0.0041887679,0.0000000000
0.01,1.0147415974,0.0083896013,0.0000031214
0.02,1.0221738594,0.0126023917,0.0000090563
0.03,1.0296458541,0.0168270265,0.0000174928
0.04,1.0371566510,0.0210633899,0.0000281155
0.05,1.0447053203,0.0253113623,0.0000406053
0.06,1.0522909336,0.0295708207,0.0000546399
0.07,1.0599125637,0.0338416391,0.0000698932
0.08,1.0675692846,0.0381236884,0.0000860362
0.09,1.0752601715,0.0424168364,0.0001027365
0.10,1.0829843012,0.0467209483,0.0001196586
0.11,1.0907407517,0.0510358867,0.0001364640
0.12,1.0985286026,0.0553615113,0.0001528113
0.13,1.1063469350,0.0596976799,0.0001683564
0.14,1.1141948315,0.0640442476,0.0001827521
0.15,1.1220713764,0.0684010679,0.0001956491
0.16,1.1299756558,0.0727679918,0.0002066950
0.17,1.1379067574,0.0771448687,0.0002155354
0.18,1.1458637710,0.0815315463,0.0002218133
0.19,1.1538457881,0.0859278706,0.0002251694
0.20,1.1618519022,0.0903336861,0.0002252425
0.21,1.1698812090,0.0947488360,0.0002216691
0.22,1.1779328062,0.0991731623,0.0002140838
0.23,1.1860057937,0.1036065058,0.0002021194
0.24,1.1940992737,0.1080487063,0.0001854066
0.25,1.2022123509,0.1124996027,0.0001635748
0.26,1.2103441321,0.1169590331,0.0001362515
0.27,1.2184937269,0.1214268350,0.0001030629
0.28,1.2266602474,0.1259028453,0.0000636337
0.29,1.2348428083,0.1303869002,0.0000175871
0.30,1.2430405272,0.1348788360,-0.0000354545
0.31,1.2512525244,0.1393784884,-0.0000958703
0.32,1.2594779231,0.1438856928,-0.0001640403
0.33,1.2677158498,0.1484002849,-0.0002403456
0.34,1.2759654336,0.1529221001,-0.0003251679
0.35,1.2842258072,0.1574509741,-0.0004188900
0.36,1.2924961064,0.1619867425,-0.0005218953
0.37,1.3007754703,0.1665292416,-0.0006345677
0.38,1.3090630415,0.1710783076,-0.0007572917
