# MU=0.20000 KE=0.00000
# Core: D0=149.9992314000 I3=6.4939394023 S=23.0983417165 F'(D0)=0.000153720000
# t,psi,gamma,Ec
0.00,1.0068500000,0.0041887679,0.0000000000
0.01,1.0137394974,0.0083884588,0.0000031298
0.02,1.0206675284,0.0125989856,0.0000091123
0.03,1.0276331311,0.0168202574,0.0000176658
0.04,1.0346353456,0.0210521794,0.0000285043
0.05,1.0416732139,0.0252946536,0.0000413373
0.06,1.0487457801,0.0295475784,0.0000558702
0.07,1.0558520903,0.0338108491,0.0000718043
0.08,1.0629911927,0.0380843579,0.0000888367
0.09,1.0701621379,0.0423679939,0.0001066605
0.10,1.0773639783,0.0466616433,0.0001249648
0.11,1.0845957689,0.0509651898,0.0001434351
0.12,1.0918565669,0.0552785143,0.0001617530
0.13,1.0991454318,0.0596014952,0.0001795965
0.14,1.1064614256,0.0639340086,0.0001966398
0.15,1.1138036128,0.0682759285,0.0002125540
0.16,1.1211710604,0.0726271266,0.0002270066
0.17,1.1285628380,0.0769874727,0.0002396615
0.18,1.1359780179,0.0813568346,0.0002501799
0.19,1.1434156749,0.0857350785,0.0002582194
0.20,1.1508748870,0.0901220690,0.0002634347
0.21,1.1583547346,0.0945176690,0.0002654776
0.22,1.1658543015,0.0989217400,0.0002639969
0.23,1.1733726739,0.1033341424,0.0002586386
0.24,1.1809089417,0.1077547352,0.0002490460
0.25,1.1884621973,0.1121833762,0.0002348598
0.26,1.1960315368,0.1166199227,0.0002157181
0.27,1.2036160593,0.1210642305,0.0001912565
0.28,1.2112148673,0.1255161550,0.0001611084
0.29,1.2188270667,0.1299755509,0.0001249047
0.30,1.2264517669,0.1344422722,0.0000822743
0.31,1.2340880809,0.1389161723,0.0000328437
0.32,1.2417351254,0.1433971044,-0.0000237623
0.33,1.2493920206,0.1478849213,-0.0000879212
0.34,1.2570578908,0.1523794755,-0.0001600120
0.35,1.2647318638,0.1568806194,-0.0002404156
0.36,1.2724130718,0.1613882054,-0.0003295148
0.37,1.2801006507,0.1659020857,-0.0004276938
0.38,1.2877937407,0.1704221128,-0.0005353383
0.39,1.2954914860,0.1749481393,-0.0006528356
0.40,1.3031930354,0.1794800179,-0.0007805743
0.41,1.3108975419,0.1840176018,-0.0009189440
0.42,1.3186041628,0.1885607444,-0.0010683360
0.43,1.3263120601,0.1931092997,-0.0012291423
0.44,1.3340204004,0.1976631220,-0.0014017562
0.45,1.3417283551,0.2022220662,-0.0015865717
0.46,1.3494351001,0.2067859880,-0.0017839838
0.47,1.3571398165,0.2113547435,-0.0019943883
0.48,1.3648416900,0.2159281897,-0.0022181817
0.49,1.3725399116,0.2205061842,-0.0024557611
0.50,1.3802336775,0.2250885857,-0.0027075242
0.51,1.3879221887,0.2296752536,-0.0029738691
0.52,1.3956046518,0.2342660481,-0.0032551943
0.53,1.4032802787,0.2388608304,-0.0035518988
0.54,1.4109482869,0.2434594629,-0.0038643816
0.55,1.4186078991,0.2480618089,-0.0041930419
0.56,1.4262583439,0.2526677327,-0.0045382793
0.57,1.4338988556,0.2572770997,-0.0049004931
0.58,1.4415286740,0.2618897765,-0.0052800825
0.59,1.4491470452,0.2665056310,-0.0056774470
0.60,1.4567532210,0.2711245320,-0.0060929854
0.61,1.4643464591,0.2757463497,-0.0065270967
0.62,1.4719260237,0.2803709556,-0.0069801791
0.63,1.4794911848,0.2849982222,-0.0074526308
0.64,1.4870412190,0.2896280236,-0.0079448494
0.65,1.4945754091,0.2942602351,-0.0084572318
